,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g
3061,Jacquet,3029330072690,4 Pains burger géant à la farine  complète,270.0,1139.0,44.0,4.8,5.0,0.6,9.4,5.8,1.1,0.44,4.0,3.0,8.25000000000002
3062,HappyVore,3770016162029,Aiguillettes végétales et gourmandes,158.0,661.0,1.4,0.5,6.5,0.7,21.0,6.0,1.4,0.56,4.0,-3.0,6.475
3063,Panzani,3038359011450,Panzani sce provencale 425g,56.0,235.0,7.8,6.3,1.8,0.3,1.5,1.3,0.89,0.356,4.0,0.0,144.4
3064,"Carrefour BIO, Carrefour",3560071407773,Croustillant graines de courge et de tournesol,425.0,1784.0,61.0,15.0,14.0,1.9,11.0,6.2,0.02,0.008,3.0,3.0,15.775
3065,Arla,5000181028133,LactoFree Semi Skimmed Milk Drink 1 Litre,38.0,,2.6,2.6,1.5,1.0,3.4,,0.07,0.028,3.0,-2.0,0.0
3066,Milbona,20942182,Mozzarella râpée,309.0,,2.6,0.1,22.8,15.4,23.3,0.0,0.97,0.388,3.0,10.0,0.0
3067,"Rama, Rama von Upfield Deutschland",8719200233041,Rama Margarine,536.0,,0.5,0.5,60.0,21.0,0.5,,0.5,0.2,4.0,13.0,43.9583333333333
3068,Scott’s,5000108022190,Scott's Old Fashioned Porridge 1Kg,149.6176,,24.0,0.4,3.2,0.6,4.4,3.6,,,1.0,,0.0
3069,Nutella,8000500359358,"Biscuits Nutella x3 biscuits fourrés - 41,4g",515.0,2158.0,64.0,35.8,24.8,11.5,7.9,,0.559,0.2236,4.0,28.0,0.0
3070,Danone HiPRO,3033491915017,Hipro Mousse cacao,169.0,,10.6,8.6,4.6,3.2,20.0,,,,4.0,,0.0
3071,Nature Valley,8410076610355,Protein Peanut & Chocolate Bars,489.0,,27.5,17.2,28.3,7.4,25.6,11.0,0.925,0.37,4.0,,60.5
3072,"San Pellegrino, Nestlé",8002270576829,Limonata,77.0,,18.0,14.7,0.0,,0.3,0.1,2.5e-05,1e-05,4.0,9.0,16.0
3073,Tesco,5052910395559,Tesco Free From Red Berry Granola 350g,112.5,,15.65,4.2,4.05,0.7,2.45,1.9,0.005,0.002,3.0,6.0,3.25
3074,Soreen,5018735224924,Malt Loaf (Lunchbox Sized),92.0,,19.0,5.7,0.5,0.1,2.4,1.1,0.1475,0.059,4.0,6.0,14.515625
3075,Manilife,5060560280811,Manilife Deep Roast Peanut Butter,619.0,,19.2,5.5,50.5,6.0,26.4,9.1,0.885,0.354,3.0,2.0,99.1
3076,Alesto,4056489479475,Seed Mix,173.0,,3.8,0.4,13.9,1.8,6.9,2.6,,,1.0,,35.0
3077,Al'fez,5010338301316,Al'fez | Harissa,138.0,578.0,20.0,15.0,4.5,0.5,2.7,,1.6,0.64,4.0,12.0,20.25
3078,Marks & Spencer,00672566,All Butter Scottish Shortbread Fingers,517.0,2160.0,59.3,17.0,28.0,17.5,5.5,2.8,0.7,0.28,3.0,23.0,0.0
3079,James White,5020934001008,Beet It Organic Beetroot Juice 1 Litre,34.0,,7.6,6.8,0.0,0.0,0.8,,0.08,0.032,1.0,1.0,100.0
3080,Lesieur,3265472278006,Lessieur 220g,653.0,,1.8,1.2,71.4,5.4,0.7,,1.55,0.62,4.0,20.0,0.0
3081,New Covent Garden Soup Co,5056053305789,Mushroom Soup,36.0,150.0,4.7,0.2,1.1,0.2,1.3,0.9,0.59,0.236,3.0,2.0,36.455078125
3082,Aiguebelle,6111017042366,Mini delice amandes,,,,,,,,,,,4.0,,0.0
3083,Ace,8001480021990,,,,,,,,,,,,,,0.0
3084,Crosta & Mollica,5060198641169,Black Peppercorn Bolli Italian Crackers,426.0,1796.0,72.0,11.0,11.0,4.7,9.0,1.5,2.0,0.8,3.0,21.0,7.7
3085,ANDROS,3608580105039,100% issu des fruits fraise,180.0,752.0,40.0,36.0,0.6,0.5,0.8,3.2,0.05,0.02,4.0,9.0,73.9583333333333
3086,Jaouda,6111242102231,muscly sghir,,,,,,,,,,,,,
3087,,6111024006078,Cristal huile de table,900.0,3768.0,0.0,0.0,100.0,14.6,0.0,,0.0,0.0,,20.0,0.0
3088,Tesco,0283519002004,brown sourdough bloomer,235.0,,44.8,1.3,0.6,0.1,9.3,6.5,,,4.0,,0.0
3089,,6926548796349,soy sauce,,,,,,,,,,,,,0.0
3090,"Nestlé, Chocapic",7613035449626,NESTLE CHOCAPIC Céréales 645g,389.0,1642.0,73.6,22.4,4.8,1.3,8.9,7.7,0.22,0.088,4.0,7.0,0.0
3091,Danone,6111032009900,danone,,,,,,,,,,,,,
3092,,6111250477048,,505.0,,66.5,38.5,24.5,12.5,5.5,,1.25,0.5,4.0,,0.0
3093,Lu,3017760635295,Granola l'original,491.0,2058.0,62.0,28.0,23.0,12.0,5.9,3.5,1.2,0.48,4.0,28.0,0.0
3094,"Belvita, LU",3017760803991,Belvita petit déjeuner goût noisette et chocolat,452.0,1902.0,68.0,26.0,15.0,1.8,7.6,4.3,0.9,0.36,4.0,15.0,2.5
3095,Badoit,3068320118437,Eau gazeuse au citron,11.0,57.0,3.3,3.3,0.5,0.0,0.5,,0.06,0.024,4.0,7.0,7.1125
3096,"Bio Organic, Gräfschafter, Lidl, Maître Jean Pierre, Tastino",20507336,Whole Grain Rye Beard,166.0,,34.6,3.7,1.2,0.3,4.2,10.1,0.9825,0.393,3.0,1.0,0.0
3097,Crownfield,20621445,Special Flakes Chocolate Noir,402.0,,84.2,0.0,6.0,1.8,7.8,8.4,1150.0,460.0,4.0,6.0,0.0
3098,"Bio Village, Marque Repère",3564707000031,Huile d'Olive Vierge Extra,819.0,3367.0,0.0,0.0,91.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
3099,Lesieur,3265471024086,Huile Cœur de Tournesol,900.0,,0.0,0.0,100.0,11.0,0.0,,0.0,0.0,2.0,4.0,0.0
3100,Delacre,3116430208941,Délichoc Noir,487.0,2039.0,63.9,39.2,22.3,13.0,5.3,,0.3,0.12,4.0,28.0,4.6875
3101,Chef Select,20757809,Hummus Classic,286.0,,13.9,2.0,21.1,2.0,7.8,4.8,1.3775,0.551,4.0,4.0,71.5
3102,U,3256224080435,"Fromage blanc nature 3,0%mg pot 900g",74.0,308.0,4.3,4.3,3.0,2.0,7.3,0.5,0.19,0.076,3.0,-1.0,0.0
3103,The Rustik Bakery,8412600028124,Hogaza de pan con masa madre 10%,239.0,1012.0,45.0,3.8,1.5,0.3,9.4,4.0,1.1,0.44,,5.0,0.0
3104,"Fromarsac,Savencia,Tartare",3272770099387,Tartare Ail & Fines Herbes,348.0,1435.0,2.3,2.3,34.5,24.5,7.0,,1.1,0.44,3.0,17.0,5.2
3105,RITTER SPORT,4000417702005,Dunkle Voll-Nuss,577.0,,39.0,37.0,41.0,16.0,8.4,,0.01,0.004,4.0,27.0,10.4166666666667
3106,"Lidl,Milbona",20002183,Cottage Cheese,98.0,410.0,2.8,2.8,4.5,3.0,11.5,,0.53,0.212,3.0,1.0,0.0
3107,Novi,8006380226001,Crema Novi Haselnusscreme,550.0,,43.6,40.7,36.0,5.8,10.4,6.9,90.0,36.0,,10.0,0.0
3108,"Barilla,Mulino Bianco",8076809544504,Molinetti,467.0,1958.0,63.0,21.0,19.0,3.2,8.0,6.0,0.69,0.276,,14.0,0.0
3109,Bénédicta,3660603081904,Mayonnaise comme à la maison,731.0,,0.8,0.1,80.1,6.0,1.6,,1.3,0.52,2.0,7.0,50.0
3110,YOPLAIT,3329770082403,Creme fraiche entière,293.0,,2.9,2.9,30.0,20.0,2.3,,0.09,0.036,3.0,16.0,0.0
3111,Nature Valley,8410076600479,Crunchy Oats & Dark Chocolate,199.0,833.0,25.8,11.3,8.3,1.4,3.7,2.9,0.265,0.106,4.0,14.0,0.0
3112,PETIT NAVIRE,3019089042242,Rillettes de saumon et de thon,268.0,,1.8,,22.0,,15.0,,,,4.0,,11.9375
3113,Balconi,8001585008155,Wafers Bfb Hazelnut,520.0,2174.0,63.0,32.0,27.0,22.0,5.6,,0.32,0.128,4.0,26.0,9.0
3114,alpro,5411188119753,"Kokosnussdrink mit Soja, Barista",33.0,139.0,3.3,3.3,1.4,0.7,1.5,0.2,0.1,0.04,4.0,3.0,6.4
3115,St Michel,3178530423815,Petites Madeleines  -30% de sucres,419.0,1748.0,49.0,17.0,22.0,2.1,5.8,6.4,0.74,0.296,4.0,10.0,29.15625
3116,Sainsbury's,01817942,"Fruit, Nut and Seed Muesli",389.0,,57.9,19.3,11.0,2.7,10.1,8.8,0.02,0.008,3.0,6.0,42.0
3117,Waitrose No 1,5000169235973,Natural Strained Greek Yoghurt,19.35945,,0.6,0.6,1.5,1.0,0.9,,,,1.0,,0.0
3118,Milka,7622210834386,Milka,542.0,,56.0,53.0,33.0,19.0,4.6,1.0,0.33,0.132,4.0,32.0,0.175611413043477
3119,"Propercorn,John West",5060283761994,Salted Popcorn,84.0,,9.5,0.2,3.8,1.2,1.7,2.3,0.3725,0.149,3.0,14.0,3.1875
3120,Jacob's,5000137016955,Twiglets,421.0,1766.0,57.0,0.5,13.4,1.9,12.4,11.3,1.1,0.44,4.0,6.0,0.625000000000001
3121,"Napolina, Napolina, Napolina, Napolina, Napolina, Napolina, Morrissons",5010061241699,Chopped tomatoes,23.0,,3.6,3.6,0.2,0.0,1.3,1.0,0.1,0.04,1.0,-4.0,83.3333333333333
3122,KP,5000237127308,Unsalted Roasted Nuts,619.0,2564.0,5.7,5.2,51.0,8.1,30.0,8.7,0.03,0.012,3.0,-8.0,75.0
3123,Tesco,5051399535838,Fruit & Nut Granola,432.0,,64.7,,12.9,,10.6,,,,4.0,,15.0
3124,Nescafé,8445290044891,Azera Americano,,,,,,,,,,,1.0,,0.0
3125,ben’s original,3487400006745,Riz tomate à l’italienne,182.0,772.0,29.0,1.8,5.0,1.4,4.0,1.6,0.49,0.196,4.0,5.0,0.0
3126,Sun Bites,5000328154893,Sweet Chilli Multigrain Snacks,119.0,,15.0,1.5,5.2,0.5,1.8,1.7,0.1375,0.055,4.0,3.0,0.0
3127,"Maribel,Lidl",4056489340591,Manteiga de amendoim cremosa,639.0,2646.0,10.0,5.0,53.0,7.5,27.0,7.0,0.0,0.0,1.0,0.0,100.0
3128,By Sainsbury's,00440783,Grissini Breadsticks,409.0,,72.7,3.8,7.2,1.1,11.5,3.8,1.17,0.468,3.0,11.0,7.0
3129,Covent Garden Soup Co,5056053305826,Covent garden soup,53.0,,5.1,1.0,2.8,0.4,1.7,0.7,0.5125,0.205,3.0,2.0,18.996875
3130,,6111245340296,Or Blanc,,283.0,6.0,,19.0,,12.0,,,,4.0,,0.0
3131,Tesco Finest,5000436405719,Sea salted potato crisps,519.0,,58.6,0.2,28.8,2.4,5.1,2.5,0.9825,0.393,3.0,12.0,0.0
3132,,6111184008233,OK Sauce Algérienne,347.0,,17.56,0.0,31.0,0.0,0.85,,0.888,0.3552,4.0,8.0,30.0925925925926
3133,Marks & Spencer,29211920,54% cocoa dark milk chocolate bar,574.0,,42.2,36.4,39.6,9.728,9.0,6.2,0.0494,0.01976,3.0,23.0,0.0
3134,Jobnaty,6111246721384,Ricotta 1%,225.0,931.0,5.0,0.0,1.0,,18.0,,0.5,0.2,,,0.0
3135,,6223000495926,Hohos,431.0,,64.0,40.0,18.0,8.0,3.7,1.1,0.45,0.18,4.0,25.0,0.0
3136,LA VIE,3770018078212,Jambon végétal fumé,109.0,461.0,3.5,0.3,1.4,0.6,19.3,2.4,2.0,0.8,4.0,3.0,0.0
3137,Hacendado,8402001015168,Caldo de pollo,5.0,22.0,1.3,0.5,0.5,0.1,0.5,0.5,0.71,0.284,4.0,3.0,0.709999999999997
3138,,6111266960350,fromage perly 64p,260.0,,5.0,5.0,22.0,15.0,10.0,,3.75,1.5,4.0,28.0,0.0
3139,New York Bakery,0094360010113,NYC Bagels The original,,,,,,,,,,,,,
3140,,6111259345843,,,,,,,,,,,,,,
3141,,6111246721971,Creem cheese,,,,,,,,,,,3.0,,0.0
3142,"Heudebert, Lu, Mondelèz International",3392460482012,Biscottes Forme+,390.0,1647.0,64.0,6.9,6.5,2.3,15.0,7.8,1.41,0.564,4.0,10.0,0.0
3143,Yoplait,3329778164019,"P'tit Yop, Goût Fraise",65.0,277.0,10.4,10.4,0.8,0.5,3.0,,0.12,0.048,4.0,9.0,0.0
3144,Elle & Vire,3451790011269,Beurre à teneur réduite en matières grasses,547.0,2251.0,0.8,0.8,60.0,42.0,1.0,0.0,0.05,0.02,2.0,20.0,0.0
3145,Pâturages,3250390204930,Lait uht 1/2 ecreme bio bt 1l,46.0,197.0,4.8,4.8,1.6,1.1,3.3,0.0,0.1,0.04,1.0,0.0,0.0
3146,Panzani,3038352875035,Tomacouli,27.0,113.0,4.5,3.9,0.1,0.05,1.2,1.6,0.05,0.02,1.0,-1.0,75.0
3147,joker,3123349014129,PET 1.5L PUR JUS ORANGE JOKER,42.0,,8.6,8.6,0.0,0.0,0.6,,0.01,0.004,1.0,4.0,100.0
3148,"Mars, Mars Wrigley",5000159407236,Mars,450.0,1890.0,70.0,61.6,16.8,8.38,4.04,1.24,0.42,0.168,4.0,30.0,0.0
3149,"Nestlé, La Laitière",3023290036686,Riz au lait,165.6,,29.44,18.17,3.795,2.53,3.22,0.115,0.23,0.092,4.0,6.0,0.0
3150,"Carrefour BIO, Carrefour",3560071014094,Amande Sans sucres,26.0,106.0,1.7,0.5,1.7,0.2,0.7,0.5,0.1,0.04,4.0,2.0,2.8
3151,Taifun,4012359144102,Tofu à l'Ail des Ours,220.0,,1.6,0.7,15.0,1.5,19.0,,4.5,1.8,3.0,23.0,6.63330078125
3152,Maison Briau,3571492670004,Parmentier de saumon 🐟,144.0,600.0,6.9,1.1,8.9,2.6,8.0,,0.8,0.32,3.0,3.0,3.95
3153,Crownfield (Lidl),20202866,premium müsli,382.0,1611.0,66.7,25.1,7.1,2.3,8.5,8.7,0.07,0.028,4.0,6.0,63.25
3154,Hacendado,8480000566614,Tiras Pollo al natural,107.0,,0.6,0.6,1.2,0.4,23.4,,1.77,0.708,4.0,2.0,0.0260416666666714
3155,Lotus,5410126006353,LOTUS BISCOFF Speculoos Fourré - Crème saveur Chocolat - 150g,504.0,2112.0,67.0,41.0,24.0,14.0,4.9,1.8,0.71,0.284,4.0,30.0,5.76923076923077
3156,"COCA-COLA, FuzeTea",5449000295750,Thé glacé pêche intense,19.0,79.0,4.4,4.4,0.0,0.0,0.0,0.0,0.03,0.012,4.0,8.0,0.1
3157,LA BELLE 220da,6132004000022,La Belle Margarine 500g,752.0,,0.8,0.8,83.0,30.0,0.3,0.0,0.5,0.2,4.0,16.0,0.0
3158,Vichy celestins,3108021065507,VICHY CELESTINS Eau Minérale Naturelle Gazeuse 1.15L,0.0,0.0,0.0,,0.0,,0.0,,293.0,117.2,1.0,1.0,0.0
3159,Vemondo,20378066,Falafel,216.0,904.0,22.0,1.9,8.8,0.8,8.2,7.6,1.225,0.49,3.0,-5.0,83.1
3160,Alpro,5411188083191,Soya Drink Original,42.0,,2.7,2.5,1.9,0.3,3.3,0.6,0.1,0.04,4.0,-2.0,8.7
3161,Jif,0051500255162,CREAMY PEANUT BUTTER,190.0,,8.0,3.0,16.0,,7.0,2.0,,,4.0,,4.545
3162,McCain,5010228001838,Crispy French Fries,148.0,,21.0,0.5,5.5,1.0,2.2,3.2,0.5125,0.205,4.0,2.0,0.0
3163,"La Vie, la vie foods",3770018078151,Bacon Vegetal Fumé,218.0,904.0,4.3,1.2,15.0,1.1,15.0,3.2,2.2,0.88,4.0,12.0,0.0
3164,Tesco,5057753124885,The Grower's Harvest Tomato Passata,28.0,,4.4,4.3,0.5,0.1,1.1,,0.1,0.04,1.0,-1.0,75.0
3165,Kallø,5013665111917,Blueberry/van Rice/corn Cakes imp,35.0,147.0,7.7,1.4,0.2,0.1,0.6,,0.0,0.0,4.0,5.0,1.3125
3166,TESCO,5000119319906,WHOLEWHEAT FUSILLI,145.0,,27.4,0.7,0.6,0.1,5.7,3.9,0.02,0.008,1.0,-2.0,0.0
3167,Jamie Oliver,5030101022279,Super tomato and olive quinoa,213.0,891.0,29.8,1.3,7.2,1.1,5.2,4.3,0.6875,0.275,3.0,2.0,17.525
3168,Yeo Valley,5036589254270,Yeo Valley Organic Kefir Strawberry Fermented Yoghurt,79.0,331.0,11.1,9.5,1.9,1.3,4.2,0.1,0.11,0.044,4.0,10.0,7.5
3169,New Covent Garden Soup Co.,5056053305727,Tomato & Basil,101.0,,12.0,10.3,3.7,0.5,4.6,2.3,1.18,0.472,3.0,1.0,64.5432777777778
3170,Snack a Jacks,5000328250687,Salt & Vinegar Flavour Crispy Rice and Corn Snack,80.0,335.0,14.0,0.4,1.9,0.2,1.2,0.6,0.2075,0.083,4.0,10.0,0.0
3171,CHERGUI,6111126002626,YAOURT A BOIRE DAYA FRAISE 900G,80.8,,15.1,8.5,1.2,,2.4,,,,3.0,,0.0
3172,Tesco,5057545928806,Dark Rye & Sunflower Bread,285.0,1200.0,40.8,2.4,7.2,1.3,10.8,4.3,0.6,0.24,4.0,0.0,0.0
3173,Gullón,8410376061789,GLuTEN FREE Sandwich Chocolate,477.0,1997.0,63.0,25.0,21.0,7.0,5.7,6.5,0.35,0.14,4.0,15.0,0.0
3174,THE FISHMONGER,4088600253961,Breaded Omega 3 Fish Fingers,164.0000000031,760.0,14.3,1.4,6.9,0.6,10.6,0.8,0.775,0.31,3.0,1.0,10.9375
3175,Dost,6111250471695,Yaourt nature sans sucre,70.0,,4.7,4.7,3.0,,3.0,,,,3.0,,0.0
3176,,6118000040354,Doliprane,,,,,,,,,,,,,
3177,,6111250471206,raouia,,,,,,,,,,,,,
3178,PepsiCo,6111252422183,Sting,42.0,,11.0,10.0,0.0,0.0,0.0,0.0,0.04,0.016,,11.0,0.0
3179,Plenish,5060362072102,Gluten Free Barista Oat Drink,46.0,,9.1,2.6,0.9,0.3,0.3,,0.1,0.04,,5.0,0.0
3180,Danette,6111032009962,Panna Cotta,,,,,,,,,,,4.0,,1.59801136363637
3181,Aldi,4088600574530,Everyday Essentials Soya Unsweetened,83.0,,3.0,1.5,4.3,0.8,7.5,1.3,0.000475,0.00019,3.0,-3.0,8.0
3182,,6111207002149,java timor 45g,,,,,,,,,,,,,
3183,LU,7622202028335,Mikado,477.0,2003.0,67.0,34.0,19.0,11.0,7.7,2.8,0.85,0.34,4.0,28.0,0.0
3184,Andros,3045320027280,Compote Pomme Nature,86.0,362.0,20.0,20.0,0.1,0.0,0.3,1.7,0.0,0.0,3.0,1.0,89.0
3185,Daddy,3165437010101,Sucre de Fleur de Coco Bio,387.0,1619.0,96.0,90.0,0.2,0.1,0.6,0.8,0.27,0.108,2.0,20.0,0.0
3186,Bonne Maman,3608580823490,Myrtille Intense,163.0,693.0,39.0,39.0,0.2,0.0,0.5,1.8,0.0,0.0,4.0,11.0,71.875
3187,Lu,7622210449979,Prince Goût Vanille,470.0,,73.0,35.0,17.0,5.3,5.1,2.3,0.55,0.22,4.0,22.0,6.33636363636364
3188,Panzani,3038350013606,Panzani torti 500g,361.0,1531.0,72.0,3.7,2.0,0.4,12.0,3.6,0.0,0.0,1.0,0.0,0.0
3189,Andros,3045320083446,pomme poire,79.0,331.0,18.0,18.0,0.2,0.0,0.3,1.6,0.0,0.0,3.0,0.0,89.0
3190,Nestlé,3700123300380,Nestlé Pure Life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0
3191,"Bio, Maggi",8585002484079,MAGGI Bouillon KUB BIO Volaille 80g,256.0,1068.0,39.8,16.1,8.6,3.5,4.4,0.7,42.0,16.8,4.0,4.0,1.75
3192,Connétable,3263670923414,Foie de Morue nature au sel de Guérande 121g Cble,560.0,2307.0,2.3,0.0,59.0,9.7,4.6,0.0,0.8,0.32,3.0,18.0,0.0
3193,U,3256222646985,Pain de mie sandwich complet 550g,261.0,1100.0,42.0,5.9,4.9,1.2,9.0,6.5,1.1,0.44,4.0,3.0,10.4431818181818
3194,Cassegrain,3083681001808,Haricots Coco cuisinés aux tomates - laurier et sauge,74.0,312.0,11.0,1.4,0.3,0.1,4.7,4.2,0.78,0.312,4.0,0.0,96.7246277007833
3195,Saupiquet,3165957222015,Filets de Maquereaux Sauce Tomate et Basilic,173.0,720.0,2.8,1.8,13.0,2.9,11.0,,0.94,0.376,4.0,4.0,12.55
3196,Terres et Céréales BIO,3421557502446,T&C Muesli croustillant avoine amandes sans gluten,447.0,1879.0,66.0,18.0,15.0,1.8,9.0,6.9,0.04,0.016,3.0,7.0,4.1875
3197,Lindt & Sprüngli,3046920017503,Excellence Noir Sésame Grillé,531.0,2214.0,50.0,45.0,32.0,17.0,6.8,,0.09,0.036,4.0,29.0,0.0
3198,Marie,3166359678103,Paupiette de veau jardinière de légumes,111.0,465.0,7.6,1.6,4.9,1.5,8.1,2.1,0.58,0.232,3.0,1.0,50.05
3199,Fleury Michon,3302740483103,Filet de Saumon Purée de Brocolis,109.0,456.0,8.6,2.4,5.0,1.9,6.8,1.2,0.66,0.264,3.0,3.0,18.0
3200,Hacendado,8480000828422,,384.0,,60.4,4.4,6.0,0.7,17.5,9.3,2.2,0.88,3.0,10.0,0.0
3201,"Grafschafter, Grafschafter Krautfabrik, ALDI Grafschafter",4000412010266,Goldsaft Zuckerrübensirup,305.0,,70.0,66.0,0.4,0.05,2.3,4.5,0.03,0.012,,16.0,0.0
3202,Siggi's,3023290027332,Skyr Nature,51.94,,3.5,3.5,0.0,,9.5,,0.1001,0.04004,3.0,-2.0,0.0
3203,Éthiquable,3760091725554,Chocolat Côte d'Ivoire grand crû M'Brimbo,626.0,2590.0,21.0,11.0,53.0,32.0,11.0,11.0,0.1,0.04,3.0,15.0,0.0
3204,Hacendado,8410789140118,Tofu firme,110.0,459.0,0.9,0.4,6.9,1.2,11.1,0.4,0.04,0.016,3.0,-2.0,18.75
3205,Alesto,20558123,Mandeln geröstet & gesalzen,644.0,,6.0,4.6,56.3,4.7,24.0,,1.0,0.4,3.0,-1.0,74.5
3206,"Baresa,Lidl",20198107,Peeled Tomatoes in tomato juice,23.0,93.0,3.5,2.5,0.0,0.0,0.8,1.9,0.28,0.112,1.0,-4.0,99.9
3207,Kellogg's extra,5053827139229,Extra chocolate y avellanas,491.0,2052.0,55.0,21.0,25.0,10.0,8.0,7.0,0.68,0.272,4.0,20.0,3.0
3208,Pringles,5053990156061,Pringles original,534.0,2252.0,56.0,1.4,31.0,6.6,5.9,3.5,1.1,0.44,4.0,16.0,0.0
3209,Carrefour,3560071406073,SKYR Nature,52.0,219.0,4.0,3.6,0.0,0.0,8.9,0.0,0.11,0.044,1.0,-2.0,0.0
3210,Brossard,3660140953351,Savane chocolat,432.0,1802.0,48.0,24.0,23.0,3.5,5.3,5.5,0.53,0.212,4.0,13.0,14.85
3211,Mlekovita,5900512300108,Butter Extra 82%,746.0,,1.0,1.0,82.0,54.0,1.0,,0.02,0.008,2.0,20.0,0.0
3212,Minute Maid,5449000257789,Minute maid orange,42.0,176.0,8.7,8.7,0.0,0.0,0.7,,0.0,0.0,1.0,4.0,100.0
3213,Mutti,8005110000775,Mutti Pastasaus med Parmigiano 400g,67.0,282.0,5.0,4.8,3.5,1.0,3.1,,0.88,0.352,3.0,-1.0,93.5
3214,"Carrefour BIO, Carrefour",3560071407650,Muesli de quinoa y chocolate,424.0,1783.0,67.0,16.0,12.0,4.4,9.1,6.8,0.08,0.032,3.0,9.0,0.0
3215,Fin Carré,4056489366461,Extra Dark 85% Cocoa,588.0,2431.0,21.2,12.8,48.1,29.0,10.5,,0.02,0.008,4.0,20.0,0.0
3216,Quorn,5019503019056,Quorn pieces,97.0,407.0,2.4,0.1,2.6,0.6,13.0,4.7,0.64,0.256,4.0,-3.0,0.0
3217,IKEA,1205243900004,Kafferep,508.0,2126.0,61.0,41.0,26.0,14.0,5.0,,0.65,0.26,4.0,30.0,1.0625
3218,Tesco,5054269413625,Tesco Tahini,672.0,2777.0,4.5,1.7,59.9,9.6,25.0,7.5,0.1,0.04,,12.0,0.0
3219,Bosh Nooch!,5030101031097,Nutritional yeast,332.0,1393.0,10.0,0.1,4.8,0.8,50.6,23.2,0.07,0.028,,,0.0
3220,Knorr,8722700750116,Vegetable Stock cubes x,7.0,,0.5,0.5,0.6,0.4,0.5,,0.96,0.384,4.0,,0.0
3221,La Carloteña,8437010848230,Pechuguita Pollo,125.0,,0.4,0.4,2.0,0.6,26.8,,0.004,0.0016,4.0,-6.0,0.0
3222,Warburtons,5010044005577,Plain Thin Bagels,257.0,,50.0,6.3,1.3,0.4,10.0,2.4,0.7875,0.315,3.0,3.0,0.39375
3223,Loyd Grossman,5000354155024,Tomato Roasted Garlic Pasta Sauce,69.0,289.0,8.8,6.7,2.8,0.4,1.7,1.1,,,3.0,,94.0
3224,Yeo Valley Family farm,5036589200178,Family Farm Raspberry,99.0,,11.1,11.1,4.0,2.8,4.7,0.0,0.18,0.072,4.0,5.0,9.9
3225,"Sainsbury's, By sainsbury's, Sainsburys",01787306,Reduced salt yeast extract,231.0,,15.1,0.5,0.5,0.3,40.7,1.8,5.41,2.164,3.0,22.0,0.0
3226,Baxters,5012427642201,Kimchi,42.0,,5.4,5.4,0.6,0.2,2.0,3.4,1.92,0.768,3.0,4.0,92.75
3227,Nature's Path Organic - Kirkland,0096619194261,Ancient Grains Probiotic Granola,250.0,,39.0,9.0,9.0,1.5,5.0,6.0,0.3375,0.135,4.0,9.0,7.03749999999999
3228,Blue Dragon,5010338301491,Thai green curry paste,196.0,,19.0,13.0,12.0,0.8,2.5,,2.2,0.88,4.0,15.0,42.5
3229,Lidl,4056489594536,Smooth peanut butter,635.0,,12.0,4.6,51.3,6.6,28.5,5.4,0.01,0.004,1.0,-6.0,100.0
3230,Star,6111184007632,Sauce Burger (Goût cheese),384.0,,20.0,0.0,33.5,0.0,0.65,,0.7,0.28,4.0,7.0,57.0913461538462
3231,Kettle Chips,5017764004019,Sea Salt & Crushed Black Peppercorns,485.0,,58.4,0.9,23.5,2.7,8.1,4.0,0.62,0.248,4.0,10.0,11.4583333333333
3232,GRANDESSA,4088600020280,Squeezy Honey,82.5,,20.475,20.3,0.05,0.025,0.025,0.125,0.0075,0.003,2.0,19.0,0.0
3233,Kiri,6111028001000,Kiri carré 24p,230.0,950.0,3.5,2.0,20.0,13.0,9.0,,1.6,0.64,4.0,16.0,0.0
3234,Star,6111184007656,Sauce Barbecue star 290g,143.2,,34.25,27.42,0.2,0.0,1.1,,2.23,0.892,4.0,20.0,4.50863636363636
3235,,6111099000162,,,,,,,,,,,,,,0.0
3236,,6111245593111,,,,,,,,,,,,,,0.0
3237,,4005900890504,,,,,,,,,,,,,,
3238,,8643729134216,8643729134216,,,,,,,,,,,,,
3239,Mars Incorporated,5000159560498,Snickers,245.0,,30.0,25.5,11.5,3.8,4.35,,0.25625,0.1025,4.0,29.0,11.5384615384615
3240,Brioche Pasquier,3256540002890,pains au lait x8,349.0,1466.0,54.0,11.0,11.0,2.0,10.4,4.6,1.1,0.44,4.0,11.0,0.0
3241,Pressade,3254691586085,Le Bio Orange,34.0,144.0,8.2,8.2,0.0,0.0,0.5,0.5,0.0,0.0,3.0,5.0,70.0
3242,Lactel,3428272950057,Lait Bio Demi-Écrémé sans lactose,46.0,,4.8,4.8,1.5,1.0,3.3,,0.275,0.11,1.0,0.0,0.0
3243,Sodebo,3242272346050,Dolce pizza prosciutto,205.0,865.0,27.0,2.0,5.0,3.3,12.0,2.1,1.1,0.44,4.0,6.0,15.1896362304688
