,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g
10659,Nutoka,4088600022499,Hazelnut Chocolate Spread,556.0,2318.0,52.9,47.0,34.6,10.5,6.2,3.9,0.1,0.04,4.0,28.0,13.0
10660,Asda,5057172516032,Chickpeas,148.0,,18.0,0.7,3.0,0.3,8.4,7.1,0.0,0.0,1.0,-8.0,80.0
10661,"Bio Village, Marque Repère",3564707179812,Muesli croustillant chocolat,445.0,1867.0,63.0,15.0,15.0,4.1,10.0,7.3,0.04,0.016,3.0,9.0,0.0
10662,Aldi,4088600248899,Juicy Sultanas,296.0,1257.0,69.4,69.4,0.4,0.0,2.7,2.0,0.05,0.02,3.0,16.0,75.0
10663,Coca-Cola,8901764012273,Coca Cola Coke Brand 750ml,44.0,,11.0,11.0,0.0,,0.0,,,,,,
10664,Tesco,5052909539339,Medium Egg Noodles,108.336,,21.228,0.199,0.60024,0.199,3.6966,0.9,0.1075125,0.043005,4.0,0.0,0.0
10665,Rowse,5011273024605,Runny Honey,329.0,,81.5,80.8,0.5,0.2,0.5,0.5,,,2.0,,0.0
10666,Walkers,5000328014937,Quavers,172.16,,19.808,0.8,9.792,0.8,0.8,0.4,0.6704,0.26816,4.0,18.0,0.0
10667,Esgir,8414472104333,Mix choco con cereales integrales,380.0,1591.0,76.0,1.2,3.5,0.6,8.8,4.8,0.21,0.084,4.0,0.0,0.0
10668,Tesco,5000358776508,Mature Cheddar & Red Onion Flavour Hand Cooked Crisps,120.0,502.0,13.1,0.5,6.2,0.7,2.0,1.8,0.2,0.08,4.0,3.0,23.3166666666667
10669,Waitrose,5000169247266,soft cheese,251.0,,3.0,3.0,24.5,15.6,4.5,0.0,0.5,0.2,3.0,14.0,0.0
10670,Tilda,5011157995403,Fragant Jasmine Rice,175.0,740.0,35.3,0.1,2.3,0.5,3.2,0.5,0.03,0.012,3.0,1.0,0.0
10671,Mentos,80978756,Mentos pure fresh,182.0,758.0,73.0,0.0,0.2,0.2,0.0,0.0,0.03,0.012,4.0,,0.0
10672,Lidl,4056489709992,Superfood Oat Bites Cocoa & Orange,413.0,,38.0,9.2,22.0,7.7,6.7,18.0,0.47,0.188,4.0,11.0,5.36666666666667
10673,Lipton,8720608026548,Thé vert menthe,4.0,,0.5,0.0,0.5,0.1,0.5,0.0,0.01,0.004,4.0,,13.75
10674,Old El Paso,8410076471178,Smoky BBQ Fajita Kit,227.0,,41.1,6.0,3.6,0.8,6.7,1.7,2.11,0.844,4.0,8.0,81.4
10675,"Auchan, Santé",3596710493425,Barre de son d'avoine et amandes,343.0,1430.0,35.0,7.9,10.0,1.3,14.0,26.0,0.27,0.108,4.0,,5.0
10676,Tesco,5010204699462,Tesco Italian GRTD Parmesan Cheese 100 G,402.0,,0.0,0.0,29.7,19.6,32.4,0.0,1.6025,0.641,,16.0,0.0
10677,nature's store,5060112547508,Store Hazelnut & Cocoa Spread,538.0,2252.0,59.3,58.0,31.0,11.0,3.8,3.9,0.01,0.004,4.0,30.0,11.0
10678,Flahavan's,5099801003148,Flahavan's Organic Porridge Oats,370.0,,65.0,1.0,5.75,1.0,11.25,,0.025,0.01,1.0,0.0,0.0
10679,Aldi,4088600316499,Plain Soya Pot,63.0,,4.1,2.4,2.8,0.4,5.0,0.8,0.575,0.23,4.0,1.0,14.0
10680,Tesco,5031021428721,Mediterranean Inspired Couscous,202.0,845.0,36.3,3.2,2.1,0.6,7.8,3.5,0.7,0.28,4.0,1.0,14.1471428571429
10681,Sainsbury's,00340960,Reduced Sugar & Salt Baked Beans,77.0,324.0,10.5,2.4,0.5,0.1,4.8,5.9,0.3,0.12,4.0,-8.0,93.3514246947083
10682,Al'Fez,5010338300999,Lebanese Style Falafel,340.0,1433.0,52.0,5.5,3.8,0.6,18.0,11.0,3.8,1.52,4.0,0.0,6.89773995535714
10683,Tropicana,1210002010481,Smooth Orange Juice,61.0,,14.0,13.0,0.0,,1.2,,,,1.0,,75.0
10684,M&S,29360932,Robust Rye Bread,230.0,,45.8,1.5,1.3,0.2,10.4,5.6,1.2,0.48,3.0,0.0,0.0
10685,Ambrosia,5000354919732,Devon Custard,96.0,,14.8,10.6,2.9,1.5,2.8,,0.11,0.044,4.0,4.0,0.0
10686,Simply...,4056489823957,Roasted & Salted Peanuts,615.0,2546.0,6.5,4.0,51.1,6.4,26.3,8.0,1.22,0.488,3.0,4.0,100.0
10687,Sainsbury's,01510294,British Double Fresh Cream,467.0,,1.6,1.6,50.5,31.4,1.5,0.5,0.05,0.02,1.0,18.0,0.0
10688,Moulin d'Or,6194021111426,Browniz,423.0,,54.0,,21.0,,6.0,4.0,0.2,0.08,4.0,,0.0
10689,Blédina,3041091282866,Lait pour nourrissons,,,,,,,,,,,,,
10690,By sainsbury's,01277708,pasta,311.6,,59.0,2.66,2.4,0.19,10.6,10.6,0.0095,0.0038,,-4.0,0.0
10691,Guinness,5000213024959,Guinness 0.0%,17.0,,3.8,0.7,0.0,0.0,0.3,,0.0,0.0,4.0,2.0,0.0
10692,Cucina,4088600401270,Whole wheat fusilli,345.0,1465.0,67.3,3.0,1.5,0.4,12.4,7.2,0.01,0.004,1.0,-5.0,0.0
10693,Billie Green,4099498000063,Vegane Salami Baguette-Style,258.0,1083.0,8.5,3.4,10.0,8.7,32.0,3.0,3.0,1.2,4.0,25.0,9.4140625
10694,"Alpro, Danone",5411188137955,Danone ALPRO® Joghurt Soja Vanille 400g,66.0,280.0,7.5,7.5,2.2,0.4,3.7,0.9,0.2,0.08,4.0,5.0,12.03
10695,"ARVID NORDQUIST NORGE AS, ARVID",0024000124962,Del Monte Pærer Halve i Juice 415g,35.0,,8.7,8.7,0.0,0.0,0.1,1.0,0.03,0.012,,2.0,0.0
10696,Lee Kim Kee,0078895710922,Sesame Oil,811.0,,1.0,1.0,91.7,14.7,1.0,,,,2.0,,0.0
10697,Specially selected,4088600041858,Luxury french sliced brioche burger buns,154.0,,26.5,4.8,3.1,0.7,4.5,1.2,0.45,0.18,4.0,7.0,0.0
10698,Marks & Spencer,00206310,Beef Lasagne,165.0,,12.4,2.9,9.0,3.8,8.1,0.9,0.7175,0.287,3.0,6.0,22.2412478129069
10699,Tesco,5000119155818,Croissants,167.0,,23.19988,2.6,6.2,3.7,4.09992,1.2,0.3,0.12,3.0,16.0,0.0
10700,By sainsbury's,01005912,Sardines in Spring Water,195.0,816.0,1.2,0.5,11.6,3.4,21.3,0.5,,,,,0.0
10701,,5018095012551,Merchant Gourmet,139.0,582.0,17.0,1.4,4.4,0.7,4.5,6.4,1.2,0.48,4.0,1.0,17.0
10702,Marks & Spencer,29306497,M&S Muesli Totally Nuts,,1730.0,49.3,3.5,14.9,2.0,13.8,13.3,0.03,0.012,4.0,-3.0,15.0
10703,ASDA,5052449483161,Original Creamy Soft Cheese,255.0,1175.0,5.5,3.5,24.0,14.0,4.4,0.6,0.3725,0.149,3.0,14.0,0.0
10704,Mentos,80733140,,190.0,794.0,75.0,0.0,0.4,0.4,0.0,,0.0,0.0,4.0,,0.52734375
10705,Chobani,0894700010144,Greek Yogurt Vanilla,130.0,,17.0,16.0,0.0,0.0,14.0,0.0,0.15,0.06,4.0,,0.902777777777771
10706,Tesco,5057008763128,Light Soy Sauce,59.0,,12.2,10.0,0.2,0.1,1.7,0.8,2.203875,0.88155,4.0,13.0,2.625
10707,Marjane,6111262580293,Flocons d avoine,352.0,,58.0,1.0,6.9000000953674,1.2000000476837,11.699999809265,10.5,0.01,0.004,,-4.0,
10708,Alitkane,6111249942274,Spaghetti,354.0,,75.1,1.0,0.0,0.0,10.2,1.0,0.0,0.0,,-4.0,0.0
10709,Jacob's,5000168031064,Mini Cheddars Original,115.0,,11.6,1.0,6.4,3.2,2.3,0.6,0.6,0.24,4.0,30.0,0.0
10710,Walkers,5000328228402,Sensations Coated Peanuts,158.0,,13.0,2.3,9.6,1.1,3.9,1.4,0.4725,0.189,4.0,9.0,39.0
10711,Taste of,4056489240792,Mexican rice,183.0,,36.0,2.0,2.0,0.3,3.6,3.1,0.4325,0.173,4.0,1.0,18.9082868303571
10712,Bio & Me,5060853640315,Berry Burst Gluten Free Granola,392.0,1642.0,49.8,9.6,13.4,4.2,10.8,15.2,0.05,0.02,4.0,1.0,33.25
10713,Ehrmann,4002971247909,High protein double choc,81.0,,5.0,,2.3,,10.0,,,,4.0,,0.0
10714,"Sainsbury's,So Organic",01357318,Slightly salted butter,742.0,,0.7,0.6,81.8,51.0,0.7,0.5,1.1,0.44,2.0,24.0,0.0
10715,Bramwells,4088600249421,English mustard,181.0,,12.0,11.0,10.0,0.69999998807907,6.0999999046326,,7.5,3.0,4.0,25.0,0.0
10716,Tesco finest,5057008234574,Finest Sea Salt And Black Pepper Crisps,496.0,2073.0,53.1,0.8,27.9,2.9,5.6,5.2,0.6,0.24,4.0,6.0,22.7272727272727
10717,Everyday essentials,4088600072494,Everyday essentials baked beans in tomato sauce,81.0,342.0,14.0,4.6,0.5,0.1,3.7,3.0,0.56,0.224,4.0,-2.0,88.8011840157869
10718,"Essential Waitrose, Waitrose",5000169552346,Basil pesto,344.0,,3.1,1.0,35.0,5.2,3.5,,0.52,0.208,3.0,11.0,11.9962692260742
10719,Alesto,4056489479604,Cranberries,332.0,1390.0,78.0,73.2,1.2,0.4,0.4,5.2,0.01,0.004,3.0,15.0,62.0
10720,ACCRO,3770018934761,Émincés 100% végétaux,178.0,,3.7,0.5,6.1,1.0,25.0,4.3,0.99,0.396,4.0,-3.0,0.0
10721,Tesco,03403112,Baby Plum Tomatoes,,,,,,,,,,,,,0.0
10722,JUICEBURST,5038512005041,Apple Juice Drink,42.0,178.0,10.5,10.5,0.5,0.1,0.5,0.5,0.01,0.004,4.0,6.0,95.0
10723,Tesco,5057373245403,Parma ham,66.0,,0.1,0.0,4.2,1.3,7.0,0.0,1.15,0.46,3.0,27.0,5.20833333333333
10724,"Tesco Finest, Tesco",5052109897819,"Roasted Sweet Potato, Coconut and Chilli",66.0,274.0,6.2,3.4,3.8,2.7,0.8,1.8,0.25,0.1,3.0,3.0,36.27197265625
10725,Trident,7622201118693,Trident peppermint flavor,,,,,,,,,,,4.0,,0.0
10726,Aldi,4088600387031,World foods,187.5,,33.375,0.875,3.25,1.125,4.75,3.125,,,4.0,,1.5
10727,Tilda,5011157994352,Caribbean Rice & Peas Basmati Rice,162.523900575,680.0,23.8,1.3,5.0,2.9,4.0,2.8,0.45,0.18,3.0,10.0,12.4
10728,bédina,5900852057915,blédilait croissance,,,,,,,,,,,4.0,,6.02678571428571
10729,Bear,5060139435567,Carrot cake bars,328.0,1381.0,55.0,28.0,6.4,1.4,5.7,14.0,0.2,0.08,3.0,7.0,65.2262777777778
10730,Sainsburys,00159388,Coconut Cream by Sainsbury's,219.0,,4.5,2.1,21.8,17.2,0.9,0.5,0.0775,0.031,4.0,18.0,78.0
10731,Tesco,5057967394784,"Spinach, Buffalo Ricotta, Pine Nuts Girasoli",205.0,858.0,22.3,2.0,8.6,3.2,8.0,3.1,0.63,0.252,3.0,4.0,21.0372619628906
10732,Lizi's,5060043224684,Granola Nuts & Seeds,469.0,1963.0,53.0,10.9,22.2,6.2,11.4,5.9,0.03,0.012,3.0,11.0,32.1875
