brands,code,product_name
hacendado,8.48E+12,100 cacahuetes
cocacola,5.449E+12,cocacola slim 25cl
bonne maman,3.04532E+12,raspberry conserve
nestle chocapic,7.61304E+12,chocapic bio cereales 375g
bonne maman,3.60858E+12,pate a tartiner noisettes et cacao
danone,6.11103E+12,veloute fraise
hovis,5.01E+12,tasty wholemeal medium
alsa,6.11101E+12,levure chimique en poudre
fleury michon,3.30274E+12,les tranches vege pois chiches
lu,7.62221E+12,belvita original petitdejeuner miel et pepites de chocolat
kingsmill,5.01009E+12,5050 medium bread
bramwells,4.0886E+12,baked beans in a rich tomato sauce
cauldron,5.01368E+12,middle eastern plantbased falafels
nairn039s,6.12322E+11,super seeded oatcakes
crosta  mollica,5.0602E+12,piadina
nestle chocapic,7.61303E+12,cereales chocapic
lumondelez international,7.62221E+12,veritable petit ecolier chocolat au lait
brioche pasquier pasquier,3.18218E+12,grilletines ble complet
lizis,5.06004E+12,low sugar nuts  seeds granola imp
lumondelez,7.62221E+12,belvita petit dejeuner chocolat
badoit,3.06832E+12,badoit 1 l pet
primevere,3.15525E+12,primevere tartine  cuisson
barilla,8.07681E+12,pesto alla genovese
red bull,9.00249E+12,red bull
popper corn,5.06028E+12,proper corn sweet  salty
warburtons,5.01004E+12,wholemeal bread
kiri,6.11103E+12,kiri
jaouda,6.11124E+12,leben jaouda
hacendado,8.48E+12,guacamole
jd grosslidl,4.05649E+12,edelbitter mild 90
lu,3.01776E+12,veritable petit beurre pocket
harrys,3.22886E+12,harrys beau  bon pain de mie farine de ble cereales  graines 320g
whole earth,5.01367E+12,beurre de cacahuetes
cathedral city,5.0003E+12,mature cheddar
tesco,5.05291E+12,squeezy honey
dulcetto,6.11126E+12,pate a tartiner
vico,3.33697E+12,chips de lentilles saveur fines herbes
herta le bon paris,3.15423E+12,herta le bon paris jambon a letouffee sans nitrite x4140g
vitalite suitable for vegan,5.00037E+12,vitalite dairy free spread
flora,8.7192E+12,flora natural ingredients lighter
central,6.11103E+12,raibi jamila
jd gross,20713713,chocolat noir equateur bio
ferrero nutella,3.01762E+12,nutella pate a tartiner aux noisettes et au cacao
alhorra,6.11102E+12,huile dolive vierge de maroc
salim,6.11103E+12,lait naturel
jordans,5.01048E+12,country crisp  chocolat noir 70 cacao
gerble,3.25149E+12,biscuit complet au germe de ble
alpro,5.41119E+12,ohne zuckerzusatz mango
milka mondelez,7.62221E+12,milka galette choco
baresa,20004132,chopped tomatoes in tomato juice
sacla,8.00106E+12,pesto classic basil
nordpak,4.0886E+12,slightly salted spreadable butter
ryvita,5.05097E+12,multigrain crunchy rye breads
ledda,6.11104E+12,margarine patissiere
chergui,6.11113E+12,chergui lait
heinz,8.7157E+12,tomato ketchup
soignon,3.52323E+12,la buche saintemaure poitoucharentes
cereal bio,3.17568E+12,tartines craquantes sarrasin
kavanaghs,4.0886E+12,organic porridge oats
aichaextra,6.11102E+12,confiture de fraises aicha
lesieur,6.11102E+12,huile lesieur 3 graines
nakd,5.06009E+12,cocoa orange fruit  nut bars
pip  nut,5.06037E+12,crunchy peanut butter
jaouda,6.11124E+12,jutos
chergui,6.11113E+12,leben beldi
sainsburys,252751,white sourdough
barilla,8.07681E+12,basilico 400g eu
hacendado,8.48E+12,tomate frito
maribel,4.05649E+12,miel cremeux francais  responsable
alpro,5.41119E+12,alpro haferdrink ungesusst 1 l fresh
weetabix,5.01003E+12,weetabix
warburtons,5.01004E+12,crumpets
oued souss,6.1111E+12,huile dolive
cocacola,5.449E+12,coca cola pet 125l ct
lindt,3.04692E+12,excellence noir a la pointe de fleur de sel
barilla,8.07681E+12,pesto con rucola
nakd,5.06009E+12,nakd cacahuetes  140g 4x1p
alpro,5.41119E+12,barista hafer
oatly,7.39438E+12,organic oat drink
danone,6.11103E+12,veloute
lune de miel,3.08854E+12,tartimielr lune de mielr doseur 250 g
heinz heinz  coop,8.7157E+12,tomato ketchup
warburtons,5.01004E+12,toastie thick sliced soft white bread
jacobs,5.00014E+12,cream crackers
isabel,8.41011E+12,atun c  tomate isabel
alesto lidl,20005719,pistaches de californie
dr kargs,4.03363E+12,organic crisp bread
bel boursin,3.17546E+12,garlic  herbs soft french cheese
philadelphia,7.6222E+12,original philadelphia
gastro mixte,6.11126E+12,b
harrys,3.22886E+12,brioche tranchee recette classique
maille,8.71257E+12,dijon originale
jaouda,6.11124E+12,jutos cocktail
lu,7.62221E+12,veritable petit beurre
lustucrulustucru selection,3.24093E+12,gnocchi a poeler
nutella,80861263,pate a tartiner
cest qui le patron,3.24834E+12,lait uht 12 ecreme
alpro,5.41119E+12,soyamilch
skippy,37600106009,peanut butter creamy
general mills francenature valley,8.41008E+12,sweet  salty nut chocolat noir et melange de noix 5 barres de 30 g
whole earth,5.01367E+12,smooth peanut butter
tesco,5.01837E+12,italian original breadsticks
haagendazs,3.41558E+12,vanilla ice cream
poulain,3.66435E+12,grand arome 32 de cacao
sunny bio,3.08854E+12,sirop dagave
garden gourmet,7.61304E+12,la panee soja et ble
krisprolls,7.31107E+12,krisprolls complets sans sucres ajoutes
