,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
13,marmiteunilever,50184453,marmite yeast extract,260.0,1100.0,30.0,1.2,0.5,0.1,34.0,10.8,4.32,4.0,23.0,0.734863281249993,0.04,High,Low Sugar,Yes
14,jaouda,6111242100985,,101.0,422.584,4.2,0.0,6.0,0.0,7.6,0.0,0.0,1.0,-2.0,0.0,0.0,Moderate,Low Sugar,No
15,centrale danone,6111032009665,lait frais,45.0,188.28,4.8,0.0,1.5,1.0,3.0,0.0,0.0,1.0,-3.0,0.0,0.0,Low,Low Sugar,No
16,lilia,6111099003897,,675.0,2824.2000000000003,0.2,0.0,75.0,34.0,0.1,0.5,0.2,4.0,18.0,0.0,0.0,High,Low Sugar,Yes
17,cocacola,5449000054227,original taste,42.0,180.0,10.6,10.6,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,Low,Moderate Sugar,Yes
18,pepsi,6111252421582,kwfyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Low,Low Sugar,No
19,lu,7622210449283,prince gout chocolat,467.0,1962.0,69.0,32.0,17.0,5.6,6.3,0.49,0.196,4.0,20.0,6.80681818181818,0.463768115942029,High,High Sugar,Yes
20,lindtsprungli,3046920029759,lindt excellence 90,200.0,836.8000000000001,9.0,2.0,16.0,10.0,4.0,0.0,0.0,3.0,14.0,0.0,0.2222222222222222,Moderate,Low Sugar,No
21,lindt excellence,3046920028004,intense dark,566.0,2350.0,34.0,30.0,41.0,24.0,9.5,0.1,0.04,3.0,25.0,0.0,0.8823529411764706,High,High Sugar,No
23,ferrero,3017620425035,nutella,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,0.107,0.0428,4.0,31.0,13.0,0.9791304347826086,High,High Sugar,Yes
24,coca cola,5449000147417,orange juice,39.0,165.0,9.3,17.0,0.0,0.0,0.0,0.126,0.0504,4.0,15.0,22.7272727272727,1.8279569892473118,Low,High Sugar,Yes
25,bimo,6111031005064,tonik,116.0,487.0,16.5,9.2,5.1,2.5,1.0,0.05,0.02,2.0,28.0,0.0,0.5575757575757575,Moderate,Moderate Sugar,No
27,danone,6111128000163,ain saiss eau minerale naturelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,Low,Low Sugar,Yes
28,gerble,3175680011480,sesame,467.0,1961.0,64.0,17.0,18.0,2.0,10.0,0.38,0.152,4.0,9.0,10.8,0.265625,High,High Sugar,Yes
29,delicia,6111162000839,confiture de fraise,250.0,1062.0,61.33,63.0,0.3,0.0,0.5,0.0,0.0,3.0,0.0,75.0,1.0272297407467796,Moderate,High Sugar,No
31,jaouda,6111242100206,yaourt nature,78.5,330.0,8.0,0.0,3.3,2.4,4.2,0.0,0.0,3.0,1.0,0.0,0.0,Low,Low Sugar,No
32,gullon,8410376009392,zero sin azucares fibra,431.0,1802.0,65.0,0.5,17.0,1.7,6.1,0.65,0.26,4.0,2.0,0.0,0.007692307692307693,High,Low Sugar,Yes
33,lindt,3046920028363,excellence 85 cacao rich dark,584.0,2418.0,22.0,14.0,46.0,27.0,12.5,0.02,0.008,3.0,20.0,0.0,0.6363636363636364,High,Moderate Sugar,No
35,star,6111184004129,mayonnaise recette originale,592.0,2435.4,0.22,0.05,65.21,9.8,1.12,1.75,0.7,4.0,12.0,0.0,0.2272727272727273,High,Low Sugar,Yes
36,jasons,5025125000006,sourdough white ciabattin bread,237.0,991.608,40.2,1.4,2.7,0.3,10.7,0.97,0.388,3.0,0.0,0.0,0.03482587064676616,Moderate,Low Sugar,No
37,alpro,5411188112709,gerostete mandel ohne zucker,15.0,61.0,0.0,0.0,1.1,0.1,0.5,0.15,0.06,4.0,1.0,2.3,,Low,Low Sugar,Yes
38,ain saiss,6111128000460,,267.0,1092.024,17.0,5.5,6.1,1.8,5.15,0.02,0.008,1.0,0.0,0.0,0.3235294117647059,High,Moderate Sugar,No
39,jd gross,20995553,chocolat noir  85 cacao,72.0,301.248,2.7,1.6,5.8,3.5,1.4,0.00375,0.0015,4.0,20.0,0.0,0.5925925925925926,Low,Low Sugar,Yes
40,cristaline,3268840001008,cristaline eau de source 05l,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.00476,0.001904,1.0,0.0,0.0,,Low,Low Sugar,No
41,ferrero,3017620422003,nutella,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,0.107,0.0428,4.0,31.0,13.0,0.9791304347826086,High,High Sugar,Yes
42,jasons,5025125000112,the great white sourdough,107.0,447.6880000000001,20.9,0.9,0.3,0.1,4.4,0.355,0.142,3.0,2.0,0.0,0.0430622009569378,Moderate,Low Sugar,No
43,alesto,20005733,,712.0,2979.0080000000003,3.7,0.9,69.1,2.0,15.5,0.01,0.004,1.0,-6.0,100.0,0.24324324324324323,High,Low Sugar,No
44,jasons,5025125000037,sourdough grains  seeds,237.0,991.608,40.2,1.4,2.7,0.3,10.7,0.89,0.356,3.0,0.0,0.0,0.03482587064676616,Moderate,Low Sugar,No
45,la hollandaise,6111203006653,cheddar,270.0,1129.68,6.0,6.0,21.0,12.0,9.0,1.5,0.6,4.0,18.0,0.0,1.0,High,Moderate Sugar,Yes
46,alestolidl,20724696,mandeln,621.0,2598.264,4.8,4.8,53.3,4.3,24.5,2.5e-05,1e-05,1.0,-10.0,100.0,1.0,High,Low Sugar,No
47,star,6111184001562,star branded iodized salt,158.7,660.5,0.0,0.0,0.0,0.0,0.0,99.0,39.6,2.0,17.0,0.0,,Moderate,Low Sugar,No
48,star,6111184004730,ketchup star 310 g,108.0,418.0,25.7,22.36,0.08,0.0,1.12,0.00555,0.00222,4.0,7.0,0.0,0.8700389105058366,Moderate,High Sugar,Yes
50,alesto,20267605,cashewkerne,180.0,753.12,5.9,1.68,14.3,2.7,6.2,0.009,0.0036,3.0,-5.0,0.0,0.28474576271186436,Moderate,Low Sugar,No
